index,video_id,url,character_count,timestamp
23,6uEuKIk2WrI,https://www.youtube.com/watch?v=6uEuKIk2WrI,3143,2025-09-09T11:31:01.364341
24,RGwzN9cq-ic,https://www.youtube.com/watch?v=RGwzN9cq-ic,7476,2025-09-09T11:31:06.366882
26,lOZc_JkdNK4,https://www.youtube.com/watch?v=lOZc_JkdNK4,4160,2025-09-09T11:31:15.904986
27,ZdIQRfjPGJ4,https://www.youtube.com/watch?v=ZdIQRfjPGJ4,4747,2025-09-09T11:31:21.251633
28,PSbzLDR3wHs,https://www.youtube.com/watch?v=PSbzLDR3wHs,3794,2025-09-09T11:31:25.366261
29,r8z3NtDHNR8,https://www.youtube.com/watch?v=r8z3NtDHNR8,1086,2025-09-09T11:31:29.936224
30,LXJsuJ2660M,https://www.youtube.com/watch?v=LXJsuJ2660M,3659,2025-09-09T11:31:34.069727
31,988AQLcQTMw,https://www.youtube.com/watch?v=988AQLcQTMw,2073,2025-09-09T11:31:38.923253
32,EJT0gUIE61w,https://www.youtube.com/watch?v=EJT0gUIE61w,3866,2025-09-09T11:31:43.028564
33,EGgmm9oX4LY,https://www.youtube.com/watch?v=EGgmm9oX4LY,4898,2025-09-09T11:31:48.224199
34,zFcvcA66u60,https://www.youtube.com/watch?v=zFcvcA66u60,9761,2025-09-09T11:31:53.375211
35,QCqw8Bvu6qU,https://www.youtube.com/watch?v=QCqw8Bvu6qU,4701,2025-09-09T11:31:57.558806
36,oP76JI02dhE,https://www.youtube.com/watch?v=oP76JI02dhE,2884,2025-09-09T11:32:02.379122
37,Wzfilyo7LMo,https://www.youtube.com/watch?v=Wzfilyo7LMo,6115,2025-09-09T11:32:06.994465
38,VFO8ljlbvUY,https://www.youtube.com/watch?v=VFO8ljlbvUY,4174,2025-09-09T11:32:11.882860
39,Ik9EBQ5n84w,https://www.youtube.com/watch?v=Ik9EBQ5n84w,5118,2025-09-09T11:32:16.256345
