input1_chunk001|오늘 미란 언니나 수건 언니는 엄청 바쁘시잖아요. 제시도 바쁘고. 바쁜 아줌도 끈끈팀 연습해서.|오늘 미란 언니나 수건 언니는 엄청 바쁘시잖아요. 제시도 바쁘고. 바쁜 아줌도 끈끈팀 연습해서.
input1_chunk003|그래도 다들 순서 안 들리고 다 잘했는데|그래도 다들 순서 안 들리고 다 잘했는데
input1_chunk004|정말 열심히 연습했는데 너무 중요한 순간에|정말 열심히 연습했는데 너무 중요한 순간에
input1_chunk005|그렇게 많이 연습을 해놓고|그렇게 많이 연습을 해놓고
input1_chunk006|거기에 애들이 추면서 서로 웃기는 춤추는..|거기에 애들이 추면서 서로 웃기는 춤추는..
input1_chunk007|한 구간이었잖아요.|한 구간이었잖아요.
input1_chunk008|아.. 미쳤나 봐. 나 왜 그랬대 내가?|아.. 미쳤나 봐. 나 왜 그랬대 내가?
input1_chunk009|그거 딱 치고 나서 있잖아. 심리하고 그러고 나서 멘붕에 된 거야. 다음 동작은.|그거 딱 치고 나서 있잖아. 심리하고 그러고 나서 멘붕에 된 거야. 다음 동작은.
input1_chunk010|한심하고 나는 너무...|한심하고 나는 너무...
input1_chunk011|기회가 안 돼, 오늘 내 운동이...|기회가 안 돼, 오늘 내 운동이...
input2_chunk001|내가 좋아했던 장소들. 주로 쇼핑하는데 소개하면 좋을 것 같아서.|내가 좋아했던 장소들. 주로 쇼핑하는데 소개하면 좋을 것 같아서.
input2_chunk002|프레이브 퍼스트 먹을 때 여기에 있는 메뉴들 골라서 프렌치 토스트, 에그 베네디크, 그리고 제페리스 우동. 이게 다 포함이야.|프레이브 퍼스트 먹을 때 여기에 있는 메뉴들 골라서 프렌치 토스트, 에그 베네디크, 그리고 제페리스 우동. 이게 다 포함이야.
input2_chunk003|아우야마에 있는 뇌즈 뮤지엄 앞에 와 있는데요|아우야마에 있는 뇌즈 뮤지엄 앞에 와 있는데요
input2_chunk004|아오야마는 되게 좀 현대적인 거리고 샵들도 많고 그런데도 내즈뮤지엄은 트레디셔너란 일본의 보물들을 전시해놓은|아오야마는 되게 좀 현대적인 거리고 샵들도 많고 그런데도 내즈뮤지엄은 트레디셔너란 일본의 보물들을 전시해놓은
input2_chunk005|하라죽구 스테이션 근처에 이렇게 큰 뉴발란스 건물이 있거든요. 이 뉴발란스 옆골 모. 여기로 들어가면 괜찮은 빈티지 샵들이 나와요.|하라죽구 스테이션 근처에 이렇게 큰 뉴발란스 건물이 있거든요. 이 뉴발란스 옆골 모. 여기로 들어가면 괜찮은 빈티지 샵들이 나와요.
input2_chunk006|지난번에 왔을 때 여기서 야상을 샀어. 이런 야상들.|지난번에 왔을 때 여기서 야상을 샀어. 이런 야상들.
input2_chunk007|그리고 얘네 이거 다 드라이 맡겨 갖고 깨끗하게 월싱해 놓은 거다. 그래서 안 빨아도 돼.|그리고 얘네 이거 다 드라이 맡겨 갖고 깨끗하게 월싱해 놓은 거다. 그래서 안 빨아도 돼.
input2_chunk008|제가 소개해드리고 싶은 곳은 저 집이에요. 버버진 이 집이 진 맛집이에요.|제가 소개해드리고 싶은 곳은 저 집이에요. 버버진 이 집이 진 맛집이에요.
input2_chunk009|바지빛이 여기 되게 예뻐. 빈티지 중에서도 하이퀄리티의 빈티지들이 많아요.|바지빛이 여기 되게 예뻐. 빈티지 중에서도 하이퀄리티의 빈티지들이 많아요.
input2_chunk010|이런 카우팬츠들도 있어요|이런 카우팬츠들도 있어요
input2_chunk011|바로 앞에. 2nd Street라는 한, 두 번 썼던 중고물건들 내놓고 파는 샵이에요. 명품 가방부터.|바로 앞에. 2nd Street라는 한, 두 번 썼던 중고물건들 내놓고 파는 샵이에요. 명품 가방부터.
input2_chunk012|이런 데서 뭔가 되게 득템할 때가 있어요. 생각지도 못하게 샤넬 트위드 자켓 같은 게 나와 있을 때가 있습니다. 이거 진짜 가죽.|이런 데서 뭔가 되게 득템할 때가 있어요. 생각지도 못하게 샤넬 트위드 자켓 같은 게 나와 있을 때가 있습니다. 이거 진짜 가죽.
input2_chunk013|패브리 프람 이태리라고 돼 있지? 이태리 원단인 거야. 근데 59,000원.|패브리 프람 이태리라고 돼 있지? 이태리 원단인 거야. 근데 59,000원.
input2_chunk014|이거 사야지. 이런 거 사는 거야. 여기 와서. 가죽 바지도 있어요. 너무 많아서 고를 수가 없어. 고르다 지쳐.|이거 사야지. 이런 거 사는 거야. 여기 와서. 가죽 바지도 있어요. 너무 많아서 고를 수가 없어. 고르다 지쳐.
input2_chunk015|여기도 빈티지 가게. 예쁜 티셔츠를 많고 여기도 모자 가게. 이게 골목이 뭔가 빈티지를 특하네 있어.|여기도 빈티지 가게. 예쁜 티셔츠를 많고 여기도 모자 가게. 이게 골목이 뭔가 빈티지를 특하네 있어.
input2_chunk016|이제 저녁을 먹으러 왔는데 제가 지금 가는 이 음식점은 죽기 전에 여기서 한 번은 먹어야 된다라고 말하는|이제 저녁을 먹으러 왔는데 제가 지금 가는 이 음식점은 죽기 전에 여기서 한 번은 먹어야 된다라고 말하는
input2_chunk017|예약도 안 받고 그냥 무조건 일찍 와서 줄을 서야 되는 집이라고 해서 찾아왔습니다. 여기구나.|예약도 안 받고 그냥 무조건 일찍 와서 줄을 서야 되는 집이라고 해서 찾아왔습니다. 여기구나.
input2_chunk018|렌즈압 베이스 프랩이라는 건데요. 보통 피부 컨디션이 안 좋거나 잠을 못 자거나 이럴 때 메이크업이 좀 들뜨고 잘 안 받는 그런 느낌들.|렌즈압 베이스 프랩이라는 건데요. 보통 피부 컨디션이 안 좋거나 잠을 못 자거나 이럴 때 메이크업이 좀 들뜨고 잘 안 받는 그런 느낌들.
input2_chunk019|그런데 이 플랩을 하나 딱 발라주고 나서 메이크업을 하면 풀 발라 놓은 것처럼 딱 달라붙는 거예요 베이스처럼 발라주면 메이크업이 무너지지|그런데 이 플랩을 하나 딱 발라주고 나서 메이크업을 하면 풀 발라 놓은 것처럼 딱 달라붙는 거예요 베이스처럼 발라주면 메이크업이 무너지지
